B1;L11;B2;L12;Vtp
0.595122061;3.46E-05;0.595122061;-1.77E-07;-0.005108155
0.598117559;3.43E-05;0.598117559;-1.74E-07;-0.005083189
0.601113057;3.41E-05;0.601113057;-1.73E-07;-0.005060707
0.604108554;3.39E-05;0.604108554;-1.71E-07;-0.005041389
0.607104052;3.36E-05;0.607104052;-1.69E-07;-0.005025334
0.61009955;3.34E-05;0.61009955;-1.67E-07;-0.005011965
0.613095048;3.32E-05;0.613095048;-1.66E-07;-0.00500005
0.616090545;3.30E-05;0.616090545;-1.64E-07;-0.004987831
0.619086043;3.27E-05;0.619086043;-1.63E-07;-0.00497326
0.622081541;3.25E-05;0.622081541;-1.61E-07;-0.004954313
0.625077039;3.23E-05;0.625077039;-1.59E-07;-0.004929329
0.628072536;3.21E-05;0.628072536;-1.57E-07;-0.004897346
0.631068034;3.19E-05;0.631068034;-1.55E-07;-0.004858351
0.634063532;3.17E-05;0.634063532;-1.52E-07;-0.004813426
0.63705903;3.15E-05;0.63705903;-1.50E-07;-0.004764745
0.640054527;3.13E-05;0.640054527;-1.47E-07;-0.00471541
0.643050025;3.11E-05;0.643050025;-1.45E-07;-0.004669132
0.646045523;3.09E-05;0.646045523;-1.43E-07;-0.004629802
0.649041021;3.07E-05;0.649041021;-1.41E-07;-0.004600993
0.652036518;3.05E-05;0.652036518;-1.40E-07;-0.004585464
0.655032016;3.03E-05;0.655032016;-1.39E-07;-0.004584723
0.658027514;3.02E-05;0.658027514;-1.39E-07;-0.004598722
0.661023012;3.00E-05;0.661023012;-1.39E-07;-0.00462571
0.664018509;2.98E-05;0.664018509;-1.39E-07;-0.004662276
0.667014007;2.96E-05;0.667014007;-1.39E-07;-0.004703584
0.670009505;2.94E-05;0.670009505;-1.40E-07;-0.004743775
0.673005003;2.92E-05;0.673005003;-1.40E-07;-0.004776506
0.6760005;2.90E-05;0.6760005;-1.39E-07;-0.004795579
0.678995998;2.88E-05;0.678995998;-1.38E-07;-0.004795601
0.681991496;2.86E-05;0.681991496;-1.37E-07;-0.004772609
0.684986993;2.84E-05;0.684986993;-1.34E-07;-0.004724602
0.687982491;2.82E-05;0.687982491;-1.31E-07;-0.004651908
0.690977989;2.80E-05;0.690977989;-1.28E-07;-0.004557341
0.693973487;2.78E-05;0.693973487;-1.24E-07;-0.004446107
0.696968984;2.77E-05;0.696968984;-1.20E-07;-0.004325452
0.699964482;2.75E-05;0.699964482;-1.16E-07;-0.00420407
0.70295998;2.74E-05;0.70295998;-1.12E-07;-0.004091338
0.705955478;2.73E-05;0.705955478;-1.09E-07;-0.00399643
0.708950975;2.71E-05;0.708950975;-1.07E-07;-0.00392744
0.711946473;2.70E-05;0.711946473;-1.05E-07;-0.003890575
0.714941971;2.69E-05;0.714941971;-1.05E-07;-0.003889527
0.717937469;2.68E-05;0.717937469;-1.05E-07;-0.003925055
0.720932966;2.67E-05;0.720932966;-1.07E-07;-0.003994825
0.723928464;2.66E-05;0.723928464;-1.09E-07;-0.004093501
0.726923962;2.64E-05;0.726923962;-1.11E-07;-0.004213052
0.72991946;2.63E-05;0.72991946;-1.14E-07;-0.004343273
0.732914957;2.61E-05;0.732914957;-1.17E-07;-0.004472437
0.735910455;2.59E-05;0.735910455;-1.19E-07;-0.004588084
0.738905953;2.57E-05;0.738905953;-1.20E-07;-0.004677871
0.741901451;2.55E-05;0.741901451;-1.21E-07;-0.004730471
0.744896948;2.53E-05;0.744896948;-1.20E-07;-0.004736463
0.747892446;2.51E-05;0.747892446;-1.18E-07;-0.004689163
0.750887944;2.49E-05;0.750887944;-1.14E-07;-0.004585343
0.753883442;2.47E-05;0.753883442;-1.09E-07;-0.00442576
0.756878939;2.45E-05;0.756878939;-1.03E-07;-0.004215415
0.759874437;2.44E-05;0.759874437;-9.66E-08;-0.003963503
0.762869935;2.42E-05;0.762869935;-8.93E-08;-0.003682989
0.765865433;2.41E-05;0.765865433;-8.18E-08;-0.003389841
0.76886093;2.41E-05;0.76886093;-7.46E-08;-0.003101946
0.771856428;2.40E-05;0.771856428;-6.81E-08;-0.00283783
0.774851926;2.40E-05;0.774851926;-6.26E-08;-0.002615292
0.777847424;2.39E-05;0.777847424;-5.86E-08;-0.002450112
0.780842921;2.39E-05;0.780842921;-5.63E-08;-0.002354948
0.783838419;2.39E-05;0.783838419;-5.59E-08;-0.002338523
0.786833917;2.39E-05;0.786833917;-5.75E-08;-0.002405149
0.789829415;2.39E-05;0.789829415;-6.11E-08;-0.002554575
0.792824912;2.39E-05;0.792824912;-6.65E-08;-0.002782131
0.79582041;2.38E-05;0.79582041;-7.34E-08;-0.003079089
0.798815908;2.38E-05;0.798815908;-8.16E-08;-0.003433176
0.801811406;2.37E-05;0.801811406;-9.07E-08;-0.003829172
