meas N = 3;meas N = 3;meas N = 3
3.400000000E-02;2.545050368E-03;-8.755229983E-06
3.500000000E-02;2.510005505E-03;-8.818709411E-06
3.600000000E-02;2.436739350E-03;-6.903542920E-06
3.700000000E-02;2.401516615E-03;-2.584451608E-06
3.800000000E-02;2.344545770E-03;-1.050487710E-05
3.900000000E-02;2.298618366E-03;-5.611669317E-06
4.000000000E-02;2.252397687E-03;-1.190549430E-05
4.100000000E-02;2.201293669E-03;-5.843911529E-06
4.200000000E-02;2.156959543E-03;-5.391745165E-06
4.300000000E-02;2.094662574E-03;-1.676550696E-05
4.400000000E-02;2.058193630E-03;1.176950660E-07
4.500000000E-02;2.016593420E-03;-9.219608914E-06
4.600000000E-02;1.954844123E-03;-8.044684495E-06
4.700000000E-02;1.911838534E-03;-9.571574481E-06
4.800000000E-02;1.860441531E-03;-5.309344785E-07
4.900000000E-02;1.811407046E-03;-8.167166540E-06
5.000000000E-02;1.784624249E-03;-6.943712598E-06
5.100000000E-02;1.720349479E-03;-5.060041751E-06
5.200000000E-02;1.677738960E-03;-4.245659820E-06
5.300000000E-02;1.623531218E-03;-2.871534839E-06
5.400000000E-02;1.592601216E-03;-4.491784160E-06
5.500000000E-02;1.541515453E-03;-2.114244233E-06
5.600000000E-02;1.506290113E-03;-5.793351440E-06
5.700000000E-02;1.457963613E-03;-6.469622206E-06
5.800000000E-02;1.420528851E-03;-5.975713509E-06
5.900000000E-02;1.377023178E-03;-1.606288885E-06
6.000000000E-02;1.343331263E-03;-5.911689168E-06
6.100000000E-02;1.301677053E-03;-2.184959507E-06
6.200000000E-02;1.268396553E-03;-6.511374125E-06
6.300000000E-02;1.226237547E-03;-4.634656501E-06
6.400000000E-02;1.192508952E-03;-5.313511534E-06
6.500000000E-02;1.155416156E-03;-2.005417601E-06
6.600000000E-02;1.127144913E-03;-2.669550385E-06
6.700000000E-02;1.095278300E-03;-3.552455844E-06
6.800000000E-02;1.058442821E-03;-3.506678043E-06
6.900000000E-02;1.029845088E-03;-3.898611232E-06
7.000000000E-02;1.003376652E-03;-3.075409564E-06
7.100000000E-02;9.735417083E-04;-3.464893804E-06
7.200000000E-02;9.455003871E-04;-2.042524839E-06
7.300000000E-02;9.190920328E-04;-4.908551008E-06
7.400000000E-02;8.962677114E-04;-3.485304427E-07
7.500000000E-02;8.669869521E-04;-2.197027031E-06
7.600000000E-02;8.482733238E-04;-4.430037141E-06
7.700000000E-02;8.225914935E-04;-1.541209185E-06
7.800000000E-02;7.970543582E-04;-7.491718177E-07
7.900000000E-02;7.801764301E-04;-2.293003872E-06
8.000000000E-02;7.568597413E-04;-1.230227989E-06
8.100000000E-02;7.386262581E-04;-2.361801499E-06
8.200000000E-02;7.173199853E-04;-1.506275983E-06
8.300000000E-02;7.029369209E-04;-1.494184612E-06
8.400000000E-02;6.849607199E-04;-8.688547116E-07
8.500000000E-02;6.672381365E-04;-1.299766875E-06
8.600000000E-02;6.520165632E-04;-3.708435517E-06
8.700000000E-02;6.347895766E-04;-2.921076296E-06
8.800000000E-02;6.191822627E-04;-7.548708678E-07
8.900000000E-02;6.039261594E-04;-1.411207814E-06
9.000000000E-02;5.932365361E-04;-8.224586799E-07
9.100000000E-02;5.786774468E-04;-1.907383575E-06
9.200000000E-02;5.678408032E-04;-2.057789412E-06
9.300000000E-02;5.538038402E-04;-1.819463486E-06
9.400000000E-02;5.404768077E-04;-1.905539319E-06
9.500000000E-02;5.269286830E-04;-1.559647216E-06
9.600000000E-02;5.186111451E-04;-1.491587514E-06
9.700000000E-02;5.086034664E-04;-2.657592912E-06
9.800000000E-02;4.977013436E-04;-1.955095123E-06
9.900000000E-02;4.879652634E-04;-1.685031392E-06
1.000000000E-01;4.793293725E-04;-1.926907653E-06
1.010000000E-01;4.685707291E-04;-1.754642614E-06
1.020000000E-01;4.605931496E-04;-2.335573339E-06
1.030000000E-01;4.532325491E-04;-2.308945946E-06
1.040000000E-01;4.429307545E-04;-2.416237148E-06
1.050000000E-01;4.368771342E-04;-7.688992470E-07
1.060000000E-01;4.271104648E-04;-1.336247588E-06
1.070000000E-01;4.199935592E-04;-2.161388648E-06
1.080000000E-01;4.143221219E-04;-2.072010373E-06
1.090000000E-01;4.069844747E-04;-1.307594225E-06
1.100000000E-01;3.992337490E-04;-2.076745651E-06
1.110000000E-01;3.916517087E-04;-1.885146078E-06
1.120000000E-01;3.841008173E-04;-1.208651315E-06
1.130000000E-01;3.767318615E-04;-5.883421497E-07
1.140000000E-01;3.733074229E-04;-1.156556528E-06
1.150000000E-01;3.696149609E-04;-9.397624083E-07
1.160000000E-01;3.626575427E-04;-1.312103166E-06
1.170000000E-01;3.535701323E-04;-3.958100346E-07
1.180000000E-01;3.464162403E-04;-1.052088652E-06
1.190000000E-01;3.482500194E-04;-7.498991944E-07
1.200000000E-01;3.400825239E-04;-2.030501559E-06
1.210000000E-01;3.318322038E-04;8.994352973E-08
1.220000000E-01;3.316279059E-04;-1.441229534E-06
1.230000000E-01;3.265954040E-04;-8.558695474E-07
1.240000000E-01;3.173838916E-04;-1.766290239E-06
1.250000000E-01;3.177025212E-04;-2.318191417E-06
1.260000000E-01;3.132697630E-04;-1.077697236E-06
1.270000000E-01;3.041018531E-04;-1.329852912E-06
1.280000000E-01;3.068008706E-04;-1.176679313E-06
1.290000000E-01;2.960650548E-04;-1.278418801E-06
1.300000000E-01;2.964674249E-04;-1.086958340E-06
1.310000000E-01;2.966567014E-04;-1.178009084E-06
1.320000000E-01;2.862288256E-04;-4.942969301E-07
1.330000000E-01;2.906880467E-04;-1.157275154E-06
1.340000000E-01;2.789414243E-04;-4.454408342E-07
1.350000000E-01;2.833920002E-04;-6.196817408E-07
1.360000000E-01;2.745495406E-04;-9.315265334E-07
1.370000000E-01;2.743848882E-04;-3.030117897E-07
1.380000000E-01;2.690862335E-04;-6.416942843E-07
1.390000000E-01;2.667345201E-04;-1.061743048E-06
1.400000000E-01;2.625276984E-04;-8.186899293E-07
1.410000000E-01;2.608015280E-04;-4.006818234E-07
1.420000000E-01;2.569926965E-04;-1.195822948E-06
1.430000000E-01;2.530352517E-04;-1.079400309E-06
1.440000000E-01;2.498584452E-04;-3.755106995E-07
1.450000000E-01;2.526917372E-04;-3.410280473E-07
1.460000000E-01;2.408723354E-04;-5.547821263E-07
1.470000000E-01;2.503913833E-04;-1.157101658E-06
1.480000000E-01;2.340755033E-04;1.061935035E-08
1.490000000E-01;2.457884046E-04;-9.423721013E-07
1.500000000E-01;2.293042926E-04;-5.943090614E-07
1.510000000E-01;2.375827884E-04;-6.640396144E-07
1.520000000E-01;2.298043436E-04;-7.297658118E-07
1.530000000E-01;2.248344235E-04;-5.986400365E-07
1.540000000E-01;2.342039020E-04;-3.364659701E-07
1.550000000E-01;2.150882600E-04;-1.072362018E-06
1.560000000E-01;2.289953624E-04;-9.907457746E-07
1.570000000E-01;2.191761596E-04;-8.559222088E-07
1.580000000E-01;2.130762316E-04;-8.895104100E-07
1.590000000E-01;2.257605989E-04;-1.040165618E-06
1.600000000E-01;2.042188293E-04;-6.554311192E-07
1.610000000E-01;2.124480188E-04;-9.004988269E-07
1.620000000E-01;2.164204700E-04;-7.397098059E-07
1.630000000E-01;1.968344903E-04;-7.608762710E-07
1.640000000E-01;2.143153758E-04;-6.694019988E-07
1.650000000E-01;2.066829640E-04;-3.671643990E-07
1.660000000E-01;1.917358679E-04;-5.607715105E-07
1.670000000E-01;2.108523669E-04;-8.350152464E-07
1.680000000E-01;1.991777615E-04;-1.286341362E-06
1.690000000E-01;1.874035328E-04;-8.269226956E-07
1.700000000E-01;2.060360854E-04;-6.065410575E-08
1.710000000E-01;1.940787643E-04;-6.133124427E-07
1.720000000E-01;1.797151811E-04;-8.994555975E-07
1.730000000E-01;1.995105485E-04;-4.886554280E-07
1.740000000E-01;1.954713628E-04;-6.526794279E-07
1.750000000E-01;1.729313800E-04;-9.992731470E-07
1.760000000E-01;1.913808560E-04;-8.803786394E-07
1.770000000E-01;1.979771501E-04;-6.440915516E-07
1.780000000E-01;1.704893093E-04;-7.900566527E-07
1.790000000E-01;1.771334634E-04;-4.648790225E-07
1.800000000E-01;1.963798087E-04;-9.184800981E-07
1.810000000E-01;1.810507891E-04;-2.869567991E-07
1.820000000E-01;1.621974080E-04;-3.750793798E-07
1.830000000E-01;1.829672950E-04;-4.254138390E-07
1.840000000E-01;1.896783313E-04;-2.269208763E-07
1.850000000E-01;1.591825320E-04;-3.634684353E-07
1.860000000E-01;1.630278957E-04;-5.989194559E-07
1.870000000E-01;1.860182373E-04;-4.566836382E-07
1.880000000E-01;1.781567679E-04;-8.603635501E-07
1.890000000E-01;1.492848634E-04;-9.077784314E-07
1.900000000E-01;1.635922524E-04;-4.650958355E-07
1.910000000E-01;1.842319209E-04;-5.609927124E-07
1.920000000E-01;1.721307880E-04;-1.012844464E-06
1.930000000E-01;1.434494151E-04;-5.106747874E-07
1.940000000E-01;1.558844016E-04;-1.033212124E-06
1.950000000E-01;1.793608367E-04;-4.063959529E-07
1.960000000E-01;1.694592258E-04;-3.079613835E-08
1.970000000E-01;1.389896122E-04;-6.888409479E-07
1.980000000E-01;1.456851665E-04;-3.987780017E-07
1.990000000E-01;1.712589336E-04;-3.666648479E-07
2.000000000E-01;1.741623273E-04;-6.990622028E-07
2.010000000E-01;1.414747566E-04;-5.762740175E-07
2.020000000E-01;1.329029038E-04;-6.194983847E-07
2.030000000E-01;1.563936952E-04;-6.480736239E-07
2.040000000E-01;1.750005005E-04;-8.343102081E-07
2.050000000E-01;1.556311916E-04;-1.578970720E-09
2.060000000E-01;1.264459880E-04;-6.338535616E-07
2.070000000E-01;1.346632009E-04;-8.079126283E-07
2.080000000E-01;1.617412823E-04;-4.671069017E-07
2.090000000E-01;1.695751784E-04;-9.520171808E-07
2.100000000E-01;1.420266549E-04;-5.658240069E-07
2.110000000E-01;1.190394284E-04;-6.943906480E-07
2.120000000E-01;1.330211447E-04;-4.970070425E-07
2.130000000E-01;1.601988804E-04;-8.889288990E-07
2.140000000E-01;1.658428518E-04;-3.672531972E-07
2.150000000E-01;1.373172590E-04;-2.192592648E-07
2.160000000E-01;1.136019445E-04;-3.913547979E-07
2.170000000E-01;1.260202674E-04;-4.661523155E-07
2.180000000E-01;1.536841385E-04;-7.924221807E-07
2.190000000E-01;1.636236219E-04;-5.489288642E-07
2.200000000E-01;1.422329880E-04;-2.897473290E-07
2.210000000E-01;1.109554912E-04;-6.340882963E-07
2.220000000E-01;1.125685334E-04;-4.876942038E-07
2.230000000E-01;1.378601738E-04;-3.053958844E-07
2.240000000E-01;1.601327109E-04;-3.877364426E-07
2.250000000E-01;1.538717086E-04;-4.735639593E-07
2.260000000E-01;1.220953107E-04;-3.984633861E-07
2.270000000E-01;1.028890373E-04;-3.584356597E-07
2.280000000E-01;1.157237384E-04;-2.904932519E-07
2.290000000E-01;1.414393479E-04;-5.104357193E-07
2.300000000E-01;1.578759741E-04;-6.428503089E-07
2.310000000E-01;1.453451115E-04;-3.158245800E-07
2.320000000E-01;1.143362290E-04;-2.518571319E-07
2.330000000E-01;9.639335229E-05;-5.074582580E-07
2.340000000E-01;1.088294892E-04;-4.960060346E-07
2.350000000E-01;1.371430860E-04;-4.732721947E-07
2.360000000E-01;1.547355326E-04;-8.641743377E-07
2.370000000E-01;1.456751648E-04;-6.923280996E-07
2.380000000E-01;1.171794227E-04;-6.122723490E-07
2.390000000E-01;9.249111219E-05;-3.870328362E-07
2.400000000E-01;9.740315496E-05;-2.587468954E-07
2.410000000E-01;1.213508248E-04;-3.656271347E-07
2.420000000E-01;1.475425855E-04;-1.316706979E-07
2.430000000E-01;1.503252553E-04;-7.409759713E-07
2.440000000E-01;1.313331094E-04;-6.181561358E-07
2.450000000E-01;1.010829706E-04;-2.022960549E-07
2.460000000E-01;8.584103058E-05;-3.049459247E-07
2.470000000E-01;9.763976188E-05;-3.580865003E-07
2.480000000E-01;1.240113899E-04;-4.145622457E-07
2.490000000E-01;1.463603545E-04;-2.645975245E-07
2.500000000E-01;1.453374114E-04;-7.238554264E-07
2.510000000E-01;1.254775520E-04;-5.216177688E-07
2.520000000E-01;9.630625460E-05;-2.801211362E-07
2.530000000E-01;8.060590015E-05;-3.084657411E-07
2.540000000E-01;8.952845722E-05;-3.337409528E-07
2.550000000E-01;1.145226072E-04;-4.740879960E-07
2.560000000E-01;1.396585191E-04;-4.062435357E-07
2.570000000E-01;1.441987822E-04;-4.703169444E-07
2.580000000E-01;1.310979766E-04;-3.023438108E-07
2.590000000E-01;1.045980894E-04;-3.065346011E-07
2.600000000E-01;8.065031704E-05;-4.548444763E-07
2.610000000E-01;7.743309431E-05;-4.149530252E-07
2.620000000E-01;9.313175510E-05;-3.391313592E-07
2.630000000E-01;1.201137103E-04;-5.397982865E-07
2.640000000E-01;1.396672023E-04;-4.567056180E-07
2.650000000E-01;1.390297190E-04;-2.792809127E-07
2.660000000E-01;1.243024528E-04;-3.566800155E-07
2.670000000E-01;1.001787692E-04;-3.088394051E-07
2.680000000E-01;7.591723154E-05;-2.394462726E-07
2.690000000E-01;7.267408420E-05;-2.898545986E-07
2.700000000E-01;8.474505625E-05;-4.127709496E-07
2.710000000E-01;1.128859123E-04;-2.695890680E-07
2.720000000E-01;1.343751224E-04;-4.641315011E-07
2.730000000E-01;1.379274376E-04;-1.819497137E-07
2.740000000E-01;1.272173154E-04;-4.938667405E-07
2.750000000E-01;1.082749054E-04;-5.885823689E-07
2.760000000E-01;8.280631210E-05;-2.948988750E-07
2.770000000E-01;6.677133269E-05;-3.671860147E-07
2.780000000E-01;7.014759334E-05;-1.817156666E-07
2.790000000E-01;8.747064403E-05;-1.959638176E-07
2.800000000E-01;1.153847100E-04;-1.004621149E-07
2.810000000E-01;1.332747900E-04;-6.737689255E-07
2.820000000E-01;1.341828747E-04;-5.184956388E-07
2.830000000E-01;1.231804824E-04;-3.499482780E-07
2.840000000E-01;1.047668570E-04;-3.268649428E-07
2.850000000E-01;8.202332326E-05;-4.626657720E-07
2.860000000E-01;6.337166352E-05;-1.746275865E-07
2.870000000E-01;6.326258431E-05;-2.938485695E-07
2.880000000E-01;7.623008242E-05;-4.050956370E-07
2.890000000E-01;1.013364633E-04;-3.095023554E-07
2.900000000E-01;1.231691297E-04;-3.920041449E-07
2.910000000E-01;1.323542362E-04;-2.877683770E-07
2.920000000E-01;1.265852970E-04;-6.355152161E-07
2.930000000E-01;1.114363830E-04;-3.514914302E-07
2.940000000E-01;9.337271455E-05;-2.918968313E-07
2.950000000E-01;7.290118221E-05;-2.662329075E-07
2.960000000E-01;5.789088241E-05;-2.120360780E-07
2.970000000E-01;5.927278417E-05;-1.618554876E-07
2.980000000E-01;7.404807245E-05;-3.525598515E-07
2.990000000E-01;9.677229132E-05;-3.849964423E-07
3.000000000E-01;1.195178088E-04;-5.915851814E-08
3.010000000E-01;1.292208708E-04;-1.343333272E-07
3.020000000E-01;1.262668661E-04;-3.638815758E-07
3.030000000E-01;1.143659222E-04;-1.449291045E-07
3.040000000E-01;9.777862179E-05;-3.662620399E-07
3.050000000E-01;7.954510195E-05;-3.238018233E-07
3.060000000E-01;6.038323708E-05;-3.705149364E-07
3.070000000E-01;5.229319470E-05;-4.087984079E-07
3.080000000E-01;5.692495628E-05;-2.208745050E-07
3.090000000E-01;7.198182630E-05;-1.711941158E-08
3.100000000E-01;9.804380357E-05;-9.092981730E-08
3.110000000E-01;1.180694899E-04;-3.377670400E-07
3.120000000E-01;1.262200997E-04;-6.180787989E-07
3.130000000E-01;1.234440528E-04;-7.795361935E-07
3.140000000E-01;1.110550076E-04;-1.448914020E-07
3.150000000E-01;9.552841097E-05;-3.080509039E-07
3.160000000E-01;7.849439261E-05;-4.250492153E-07
3.170000000E-01;6.327929434E-05;-1.934677207E-07
3.180000000E-01;4.988327193E-05;-2.356605548E-07
3.190000000E-01;4.860213759E-05;-2.469348774E-07
3.200000000E-01;5.641767678E-05;-2.712996942E-07
3.210000000E-01;7.695983060E-05;-2.210841059E-07
3.220000000E-01;1.004748162E-04;-2.905169718E-07
3.230000000E-01;1.171381371E-04;-3.652775579E-07
3.240000000E-01;1.228557059E-04;-5.209507231E-07
3.250000000E-01;1.197458686E-04;-3.115230803E-07
3.260000000E-01;1.098855158E-04;-3.599430877E-07
3.270000000E-01;9.546279348E-05;-2.992757759E-07
3.280000000E-01;7.976649550E-05;-2.938374531E-07
3.290000000E-01;6.413769183E-05;-3.131264902E-07
3.300000000E-01;4.970997069E-05;-1.763059384E-07
3.310000000E-01;4.346977388E-05;-1.544107845E-07
3.320000000E-01;4.699951214E-05;-2.121727016E-07
3.330000000E-01;6.040417337E-05;-1.950747300E-07
3.340000000E-01;7.989271556E-05;-1.870860896E-07
3.350000000E-01;1.021324674E-04;-4.028400234E-07
3.360000000E-01;1.165140920E-04;-3.951929555E-07
3.370000000E-01;1.205724868E-04;-3.232740038E-07
3.380000000E-01;1.171871400E-04;-5.330456119E-07
3.390000000E-01;1.073022939E-04;-3.420593130E-07
3.400000000E-01;9.427518934E-05;-3.536629652E-07
3.410000000E-01;8.014072285E-05;-3.425889352E-07
3.420000000E-01;6.492482642E-05;-2.590947320E-07
3.430000000E-01;5.179598453E-05;-1.881944309E-07
3.440000000E-01;4.106048708E-05;-1.827341547E-07
3.450000000E-01;3.984675619E-05;-1.602885846E-07
3.460000000E-01;4.536530258E-05;-1.103679464E-07
3.470000000E-01;6.003898616E-05;-8.046673790E-08
3.480000000E-01;8.166601922E-05;-2.377577950E-07
3.490000000E-01;1.020591599E-04;-2.379298987E-07
3.500000000E-01;1.139923476E-04;-3.692439361E-08
3.510000000E-01;1.181389257E-04;-2.709629926E-07
3.520000000E-01;1.148994354E-04;-4.603254135E-07
3.530000000E-01;1.064770203E-04;-3.928193670E-07
3.540000000E-01;9.478727342E-05;-3.457711046E-07
3.550000000E-01;8.132047066E-05;-2.197003766E-08
3.560000000E-01;6.819446147E-05;-2.583168269E-07
3.570000000E-01;5.524165698E-05;-7.701851633E-08
3.580000000E-01;4.356145204E-05;-1.355457677E-07
3.590000000E-01;3.598769160E-05;-1.293014508E-07
3.600000000E-01;3.619908952E-05;-1.655144742E-07
3.610000000E-01;4.198191413E-05;-1.884998172E-07
3.620000000E-01;5.662642140E-05;-1.333623847E-07
3.630000000E-01;7.676295815E-05;-2.674634191E-07
3.640000000E-01;9.581841171E-05;-3.878197033E-07
3.650000000E-01;1.087396511E-04;-4.965204618E-07
3.660000000E-01;1.153905007E-04;-4.276494745E-07
3.670000000E-01;1.145283065E-04;-2.316522798E-07
3.680000000E-01;1.089300775E-04;-2.364045798E-07
3.690000000E-01;9.814021042E-05;-1.542910844E-07
3.700000000E-01;8.729519991E-05;-5.308664479E-07
3.710000000E-01;7.519327149E-05;-1.741190169E-07
3.720000000E-01;6.267096080E-05;-3.735203399E-07
3.730000000E-01;5.141401803E-05;-2.434480530E-07
3.740000000E-01;4.091671130E-05;-1.572655132E-07
3.750000000E-01;3.304888663E-05;-2.564581456E-07
3.760000000E-01;3.186519735E-05;-9.699722068E-08
3.770000000E-01;3.544981254E-05;-1.302568057E-07
3.780000000E-01;4.559707611E-05;-1.013832900E-07
3.790000000E-01;6.308525938E-05;-2.403600711E-07
3.800000000E-01;8.474110582E-05;-4.060163676E-07
3.810000000E-01;9.975525074E-05;-3.543745605E-07
3.820000000E-01;1.087299930E-04;-1.630196740E-07
3.830000000E-01;1.135187579E-04;-5.420539685E-07
3.840000000E-01;1.127221690E-04;-3.615285007E-07
3.850000000E-01;1.068858884E-04;-4.617783434E-07
3.860000000E-01;9.764326065E-05;-7.812645269E-08
3.870000000E-01;8.633616908E-05;-4.259812401E-07
3.880000000E-01;7.521005095E-05;-1.900323765E-07
3.890000000E-01;6.342809538E-05;-1.247315606E-07
3.900000000E-01;5.288899366E-05;-2.092168738E-07
3.910000000E-01;4.300697882E-05;-1.444241269E-07
3.920000000E-01;3.440841579E-05;-1.619831941E-07
3.930000000E-01;2.878243672E-05;-9.654485741E-08
3.940000000E-01;2.816663797E-05;-1.303082368E-07
3.950000000E-01;3.179080382E-05;-1.128700769E-07
3.960000000E-01;4.134591390E-05;-7.798382207E-08
3.970000000E-01;5.700459202E-05;-1.659776470E-07
3.980000000E-01;7.485610107E-05;-2.072492519E-07
3.990000000E-01;9.042720205E-05;-4.048058917E-07
4.000000000E-01;1.023903968E-04;-2.386070241E-07
4.010000000E-01;1.097633536E-04;-3.871385095E-07
4.020000000E-01;1.115880221E-04;-3.432729965E-07
4.030000000E-01;1.092725238E-04;-3.050225451E-07
4.040000000E-01;1.027971720E-04;-2.736948177E-07
4.050000000E-01;9.329722153E-05;-3.174728676E-07
4.060000000E-01;8.281823134E-05;-3.342338011E-07
4.070000000E-01;7.159901863E-05;-2.010124932E-07
4.080000000E-01;6.075365701E-05;-1.095826627E-07
4.090000000E-01;5.124136110E-05;-2.026254227E-07
4.100000000E-01;4.261445596E-05;-1.591064186E-07
4.110000000E-01;3.460201616E-05;-2.013799396E-07
4.120000000E-01;2.805667477E-05;-1.465637028E-07
4.130000000E-01;2.444605782E-05;-1.201485632E-07
4.140000000E-01;2.491837215E-05;-1.227095641E-07
4.150000000E-01;2.899819890E-05;-1.074360858E-07
4.160000000E-01;3.867542735E-05;-7.044439946E-08
4.170000000E-01;5.258759127E-05;-1.179718060E-07
4.180000000E-01;6.949776406E-05;-8.641294333E-08
4.190000000E-01;8.409198650E-05;-4.537595500E-07
4.200000000E-01;9.672584099E-05;-3.234810493E-07
4.210000000E-01;1.051839371E-04;-4.308410727E-07
4.220000000E-01;1.097987240E-04;-4.304701681E-07
4.230000000E-01;1.103655716E-04;-4.945991476E-07
4.240000000E-01;1.062424715E-04;-2.922356697E-07
4.250000000E-01;9.931817393E-05;-3.068452923E-07
4.260000000E-01;8.965864759E-05;-2.241977507E-07
4.270000000E-01;7.967669596E-05;-2.577636482E-07
4.280000000E-01;6.901475985E-05;-2.769078283E-07
4.290000000E-01;5.886302772E-05;-2.541477809E-07
4.300000000E-01;4.991330975E-05;-7.215524597E-08
4.310000000E-01;4.189586673E-05;-1.906608299E-07
4.320000000E-01;3.508004957E-05;-1.755119197E-07
4.330000000E-01;2.872492106E-05;-1.400810986E-07
4.340000000E-01;2.373525749E-05;-1.109756549E-07
4.350000000E-01;2.115069550E-05;-9.059706485E-08
4.360000000E-01;2.156843997E-05;-8.177692354E-08
4.370000000E-01;2.503887973E-05;2.224362752E-08
4.380000000E-01;3.319759312E-05;-3.053689365E-08
4.390000000E-01;4.538006436E-05;-1.122672608E-07
4.400000000E-01;6.044676203E-05;-3.005102039E-07
4.410000000E-01;7.461772298E-05;-1.782196408E-07
4.420000000E-01;8.705768143E-05;-1.586202071E-07
4.430000000E-01;9.753629685E-05;-4.212294255E-07
4.440000000E-01;1.048922156E-04;-4.150867212E-07
4.450000000E-01;1.088764930E-04;-4.180304552E-07
4.460000000E-01;1.089093715E-04;-3.009190672E-07
4.470000000E-01;1.058240488E-04;-3.391703152E-07
4.480000000E-01;9.949064966E-05;-3.502715519E-07
4.490000000E-01;9.081521647E-05;-3.410668049E-07
4.500000000E-01;8.085264509E-05;-2.456036980E-07
4.510000000E-01;6.985603997E-05;-1.628131125E-07
4.520000000E-01;6.147436330E-05;-2.951208830E-07
4.530000000E-01;5.179641586E-05;-2.308329484E-07
4.540000000E-01;4.388521080E-05;-1.545251231E-07
4.550000000E-01;3.702451352E-05;-1.042688021E-07
4.560000000E-01;3.156098534E-05;-1.859153338E-07
4.570000000E-01;2.633226125E-05;-1.392435772E-07
4.580000000E-01;2.180683274E-05;-1.264680393E-07
4.590000000E-01;1.808796580E-05;-1.225429810E-07
4.600000000E-01;1.778693966E-05;-4.477073846E-08
4.610000000E-01;1.908322449E-05;-3.934501558E-08
4.620000000E-01;2.346931892E-05;-4.486622504E-08
4.630000000E-01;3.202662980E-05;-3.984431590E-08
4.640000000E-01;4.287350750E-05;-8.103847777E-08
4.650000000E-01;5.629558638E-05;-2.051914460E-07
4.660000000E-01;6.883606530E-05;-1.817077168E-07
4.670000000E-01;8.114900329E-05;-4.422438511E-07
4.680000000E-01;9.114008160E-05;-4.247257961E-07
4.690000000E-01;9.946187573E-05;-3.829773673E-07
4.700000000E-01;1.063536204E-04;-1.683401399E-07
4.710000000E-01;1.080722994E-04;-4.702768349E-07
4.720000000E-01;1.074037817E-04;-4.229350962E-07
4.730000000E-01;1.042137983E-04;-4.623002985E-07
4.740000000E-01;9.822868669E-05;-2.663744655E-07
4.750000000E-01;9.121330098E-05;-1.700134551E-07
4.760000000E-01;8.265772157E-05;-2.984950505E-07
4.770000000E-01;7.310099630E-05;-2.432025079E-07
4.780000000E-01;6.363068052E-05;-1.880963976E-07
4.790000000E-01;5.480671282E-05;-1.089955803E-07
4.800000000E-01;4.654804965E-05;-1.907393444E-07
4.810000000E-01;3.931366319E-05;-9.696184240E-08
4.820000000E-01;3.326656649E-05;-9.926864169E-08
4.830000000E-01;2.827314540E-05;-1.016335334E-07
4.840000000E-01;2.359822168E-05;-1.109798088E-07
4.850000000E-01;1.884284695E-05;-1.030132922E-07
4.860000000E-01;1.694475927E-05;-1.237708165E-07
4.870000000E-01;1.505333464E-05;-6.799734413E-08
4.880000000E-01;1.510234728E-05;-4.274257172E-08
4.890000000E-01;1.674677404E-05;-4.613578989E-08
4.900000000E-01;2.148842596E-05;-8.084614627E-08
4.910000000E-01;2.912778753E-05;-8.180273960E-08
4.920000000E-01;3.899276452E-05;-1.396539450E-07
4.930000000E-01;5.071951283E-05;-1.697792091E-07
4.940000000E-01;6.291698489E-05;-2.726977652E-07
