B;Vheate;sample;Power;VtpYring2;VtpXring2;VtpYring1;VtpXring1
0.57;0.2;'F150709B';2.77E-07;-6.9067200000E-09;8.2106000000E-09;6.9328100000E-08;4.7684100000E-10
0.575;0.2;'F150709B';2.77E-07;4.9718000000E-08;-4.8429100000E-10;-3.5785400000E-08;-1.4156200000E-10
0.58;0.2;'F150709B';2.77E-07;7.9677000000E-08;-2.2202900000E-09;-5.1126100000E-08;2.9057400000E-10
0.585;0.2;'F150709B';2.77E-07;1.1143100000E-07;-1.4826700000E-09;8.7973300000E-09;2.8982900000E-09
0.59;0.2;'F150709B';2.77E-07;1.0223700000E-07;-1.0430900000E-10;-2.2687200000E-09;3.7253100000E-11
0.595;0.2;'F150709B';2.77E-07;-7.0333800000E-09;-2.9049900000E-08;-1.0636500000E-07;-6.4075400000E-10
0.6;0.2;'F150709B';2.77E-07;-2.0720900000E-07;1.6033800000E-08;3.9905500000E-08;5.0664300000E-10
0.605;0.2;'F150709B';2.77E-07;-1.7827800000E-07;6.3479200000E-09;7.5176800000E-08;-2.6598700000E-09
0.61;0.2;'F150709B';2.77E-07;-7.9930300000E-08;4.4703700000E-10;1.1674400000E-07;-4.8429100000E-10
0.615;0.2;'F150709B';2.77E-07;1.3500500000E-08;-8.1733500000E-09;4.3429700000E-08;-1.4975700000E-09
0.62;0.2;'F150709B';2.77E-07;6.2108500000E-08;-4.4703700000E-11;-2.5972800000E-08;5.4389600000E-10
0.625;0.2;'F150709B';2.77E-07;8.0787100000E-08;-3.1888600000E-09;-3.4712500000E-08;-3.3527800000E-10
0.63;0.2;'F150709B';2.77E-07;9.5263600000E-08;-4.4703700000E-10;-2.6151700000E-08;8.2701800000E-10
0.635;0.2;'F150709B';2.77E-07;1.2353900000E-07;-8.3446900000E-10;2.3767500000E-08;5.5134700000E-10
0.64;0.2;'F150709B';2.77E-07;1.0921900000E-07;1.2219000000E-09;-1.1243000000E-08;1.0188700000E-09
0.645;0.2;'F150709B';2.77E-07;-1.5285700000E-07;-1.0028500000E-08;-5.1580600000E-08;5.1614100000E-08
0.65;0.2;'F150709B';2.77E-07;-2.0709700000E-07;-1.4633000000E-08;5.0038300000E-08;1.0766200000E-09
0.655;0.2;'F150709B';2.77E-07;-1.8596700000E-07;-9.2387600000E-10;7.9986200000E-08;-1.1511200000E-09
0.66;0.2;'F150709B';2.77E-07;-5.1856300000E-08;2.9802500000E-10;1.1015700000E-07;-1.4901200000E-09
0.665;0.2;'F150709B';2.77E-07;-1.6987400000E-09;9.7007100000E-09;6.1154800000E-08;-2.9802500000E-11
0.67;0.2;'F150709B';2.77E-07;5.1491200000E-08;-2.6077200000E-10;-1.0728900000E-08;4.2096000000E-10
0.675;0.2;'F150709B';2.77E-07;8.2843500000E-08;-8.3446900000E-10;-1.6655900000E-08;2.8200600000E-09
0.68;0.2;'F150709B';2.77E-07;8.8841200000E-08;-2.1085300000E-09;-1.5106100000E-08;1.0132900000E-09
0.685;0.2;'F150709B';2.77E-07;1.0906200000E-07;-1.3262100000E-09;-1.0375000000E-08;4.3586100000E-10
0.69;0.2;'F150709B';2.77E-07;1.3777000000E-07;-7.5251200000E-10;2.4594500000E-08;-4.9919300000E-10
0.695;0.2;'F150709B';2.77E-07;1.2638500000E-07;-2.0787300000E-09;2.7388500000E-08;-3.0175000000E-10
0.7;0.2;'F150709B';2.77E-07;9.8832400000E-08;3.6284500000E-09;-5.9292000000E-08;1.8067700000E-09
0.705;0.2;'F150709B';2.77E-07;-2.3007500000E-07;3.2872200000E-08;4.6152900000E-08;-2.8897200000E-08
0.71;0.2;'F150709B';2.77E-07;-2.3457500000E-07;-1.7285400000E-09;3.8866200000E-08;-7.4506200000E-10
0.715;0.2;'F150709B';2.77E-07;-1.7106600000E-07;-1.7881500000E-10;7.8566800000E-08;-7.4506400000E-12
0.72;0.2;'F150709B';2.77E-07;-4.9650900000E-08;8.0466600000E-10;1.0034500000E-07;-2.1234300000E-09
0.725;0.2;'F150709B';2.77E-07;-9.6038600000E-09;7.8380700000E-09;7.3493000000E-08;-5.7369800000E-10
0.73;0.2;'F150709B';2.77E-07;2.4825500000E-08;2.2351900000E-11;-4.2319600000E-09;1.9408900000E-09
0.735;0.2;'F150709B';2.77E-07;6.5949300000E-08;2.9802500000E-11;-5.5879600000E-09;1.1455300000E-09
0.74;0.2;'F150709B';2.77E-07;7.4860200000E-08;-1.5273800000E-10;-1.6242400000E-08;1.6894300000E-09
0.745;0.2;'F150709B';2.77E-07;9.2130600000E-08;-5.8487400000E-10;-2.5315300000E-08;1.3616000000E-09
0.75;0.2;'F150709B';2.77E-07;1.3406700000E-07;4.1351000000E-09;2.2137700000E-09;2.6542800000E-09
0.755;0.2;'F150709B';2.77E-07;1.5268600000E-07;-2.5108600000E-09;1.3447400000E-08;-3.4552200000E-10
0.76;0.2;'F150709B';2.77E-07;1.5036900000E-07;6.8545700000E-10;3.3306200000E-08;-3.4831600000E-10
0.765;0.2;'F150709B';2.77E-07;1.4022800000E-07;1.6093300000E-09;-1.0430900000E-10;3.8668800000E-09
0.77;0.2;'F150709B';2.77E-07;-1.3420100000E-07;-2.3096900000E-08;-3.0520700000E-07;-3.7879000000E-08
0.775;0.2;'F150709B';2.77E-07;-2.4995400000E-07;-2.0146500000E-08;1.3658500000E-07;1.0728900000E-08
0.78;0.2;'F150709B';2.77E-07;-2.3743600000E-07;-1.5199300000E-09;7.9572700000E-08;1.1325000000E-09
0.785;0.2;'F150709B';2.77E-07;-1.6486700000E-07;3.5763000000E-10;5.4531000000E-08;-2.7567300000E-10
0.79;0.2;'F150709B';2.77E-07;-1.0511300000E-07;8.9407400000E-11;9.6552500000E-08;-1.4379700000E-09
0.795;0.2;'F150709B';2.77E-07;-1.8157200000E-08;-9.3207300000E-09;9.8601400000E-08;-5.5879700000E-10
0.8;0.2;'F150709B';2.77E-07;2.5216600000E-08;-6.4075300000E-09;4.3951200000E-08;-5.8860000000E-10
0.805;0.2;'F150709B';2.77E-07;2.7433200000E-08;1.3895400000E-09;-2.0180000000E-08;-5.1781900000E-10
0.81;0.2;'F150709B';2.77E-07;7.4092800000E-08;1.7881500000E-09;1.1190800000E-08;2.1252900000E-09
0.815;0.2;'F150709B';2.77E-07;6.9890600000E-08;-6.1095100000E-10;5.5637500000E-09;2.6412500000E-09
0.82;0.2;'F150709B';2.77E-07;7.4476500000E-08;-5.1036800000E-10;-1.1297000000E-08;1.5460000000E-10
0.825;0.2;'F150709B';2.77E-07;1.1423300000E-07;-1.4454200000E-08;-2.4635500000E-08;-6.7055700000E-11
0.83;0.2;'F150709B';2.77E-07;1.3350800000E-07;-1.8254000000E-09;-9.8646300000E-09;1.6577600000E-10
0.835;0.2;'F150709B';2.77E-07;1.4801400000E-07;-1.4156200000E-09;-4.9230000000E-09;-3.2223900000E-10
0.84;0.2;'F150709B';2.77E-07;1.7380800000E-07;7.3761100000E-10;6.6597500000E-08;4.8876100000E-09
0.845;0.2;'F150709B';2.77E-07;1.7555200000E-07;2.3916500000E-09;5.2791300000E-08;2.6859500000E-09
0.85;0.2;'F150709B';2.77E-07;1.7303300000E-07;1.2138500000E-07;-3.0523400000E-08;6.1653900000E-10
0.855;0.2;'F150709B';2.77E-07;-4.0281000000E-07;-1.3414100000E-07;-1.0559600000E-06;1.7357000000E-07
0.86;0.2;'F150709B';2.77E-07;-2.8169300000E-07;-1.6123200000E-08;1.3432000000E-07;4.5895800000E-08
0.865;0.2;'F150709B';2.77E-07;-2.4733100000E-07;-6.2883200000E-09;9.9331600000E-08;6.5267400000E-09
0.87;0.2;'F150709B';2.77E-07;-2.0054100000E-07;9.8348400000E-10;1.7412100000E-08;-3.3527800000E-10
0.875;0.2;'F150709B';2.77E-07;-1.5425800000E-07;1.2219000000E-09;5.7388300000E-08;-1.7881500000E-10
0.88;0.2;'F150709B';2.77E-07;-6.4224500000E-08;4.7684100000E-10;1.0371300000E-07;-1.3411100000E-10
0.885;0.2;'F150709B';2.77E-07;1.1995500000E-09;-8.3000000000E-09;9.0189700000E-08;-1.2889600000E-09
0.89;0.2;'F150709B';2.77E-07;2.4743500000E-08;2.0787300000E-09;4.7780800000E-08;-1.2964100000E-09
0.895;0.2;'F150709B';2.77E-07;-4.5430200000E-09;-1.1809200000E-08;-2.1554600000E-08;-2.4102800000E-09
0.9;0.2;'F150709B';2.77E-07;4.9945200000E-08;1.4376000000E-08;-3.3654500000E-08;4.8429100000E-10
0.905;0.2;'F150709B';2.77E-07;8.1763100000E-08;1.2517000000E-09;3.3762500000E-08;6.1821500000E-09
0.91;0.2;'F150709B';2.77E-07;4.9229900000E-08;-3.6508000000E-10;4.7780800000E-08;5.1781800000E-09
0.915;0.2;'F150709B';2.77E-07;5.5145700000E-08;5.2899500000E-10;-3.9696900000E-08;2.9802500000E-10
0.92;0.2;'F150709B';2.77E-07;8.5227700000E-08;1.5646300000E-10;-7.8853700000E-08;-1.4528700000E-09
0.925;0.2;'F150709B';2.77E-07;9.8676000000E-08;-1.4528700000E-08;-3.7715100000E-08;-4.0978400000E-11
0.93;0.2;'F150709B';2.77E-07;1.3240500000E-07;-9.4622700000E-10;-9.9316800000E-09;1.3448400000E-09
0.935;0.2;'F150709B';2.77E-07;1.6280400000E-07;-7.5996300000E-10;2.5652500000E-08;1.3560100000E-09
0.94;0.2;'F150709B';2.77E-07;1.7890400000E-07;4.0352600000E-08;6.4813100000E-08;1.7210900000E-09
0.945;0.2;'F150709B';2.77E-07;1.9103400000E-07;2.6226200000E-09;6.3017500000E-08;1.4752200000E-09
0.95;0.2;'F150709B';2.77E-07;1.6001000000E-07;4.1127500000E-09;-2.5548200000E-08;-5.2117100000E-09
0.955;0.2;'F150709B';2.77E-07;2.0185200000E-07;2.0831900000E-08;-4.4845300000E-08;-9.5442500000E-09
0.96;0.2;'F150709B';2.77E-07;-5.9587100000E-07;-3.7640500000E-07;-1.2953400000E-06;8.2612400000E-07
0.965;0.2;'F150709B';2.77E-07;-4.2838000000E-07;-2.4408200000E-07;5.4312100000E-07;2.1076300000E-07
0.97;0.2;'F150709B';2.77E-07;-2.8664100000E-07;-1.5556900000E-08;1.4451200000E-07;-3.0338900000E-08
0.975;0.2;'F150709B';2.77E-07;-2.4420200000E-07;-6.2585200000E-09;9.2566500000E-08;5.0664200000E-09
0.98;0.2;'F150709B';2.77E-07;-1.9174900000E-07;-1.4901200000E-09;6.4373500000E-08;1.0132900000E-09
0.985;0.2;'F150709B';2.77E-07;-1.5378100000E-07;5.9605100000E-11;6.2704600000E-08;7.1525900000E-10
0.99;0.2;'F150709B';2.77E-07;-1.0895800000E-07;-1.1921000000E-10;5.1260200000E-08;-1.0728900000E-09
0.995;0.2;'F150709B';2.77E-07;-4.8309800000E-08;-9.8348200000E-09;6.1035600000E-08;-1.9371700000E-09
1;0.2;'F150709B';2.77E-07;-2.8200600000E-09;-4.3399900000E-09;4.1954500000E-08;-1.7657900000E-09
1.005;0.2;'F150709B';2.77E-07;1.3455800000E-08;9.8720900000E-10;8.4639200000E-09;-3.8184400000E-10
1.01;0.2;'F150709B';2.77E-07;2.4706200000E-08;-7.7933700000E-09;-2.7883900000E-08;-1.0039700000E-09
1.015;0.2;'F150709B';2.77E-07;3.0098600000E-08;3.2410200000E-10;-4.2081100000E-08;-8.8476000000E-10
1.02;0.2;'F150709B';2.77E-07;9.3736200000E-08;-1.1950800000E-08;-7.7650400000E-08;-8.3819400000E-10
1.025;0.2;'F150709B';2.77E-07;1.0334000000E-07;2.6971200000E-09;-5.2355500000E-08;1.7769700000E-09
1.03;0.2;'F150709B';2.77E-07;1.4018300000E-08;1.6108300000E-08;1.1263800000E-07;1.2502100000E-08
1.035;0.2;'F150709B';2.77E-07;1.1619200000E-08;1.9073600000E-09;-1.0562700000E-07;9.4622700000E-10
1.04;0.2;'F150709B';2.77E-07;4.4700000000E-08;4.8801700000E-10;-2.5108600000E-07;-7.3016000000E-09
1.045;0.2;'F150709B';2.77E-07;6.8214300000E-08;5.8860000000E-10;-1.7714600000E-07;-3.6061000000E-09
1.05;0.2;'F150709B';2.77E-07;1.0583600000E-07;-1.7739900000E-08;-9.1642600000E-08;-6.2585200000E-10
1.055;0.2;'F150709B';2.77E-07;1.4707500000E-07;-6.2585200000E-10;-5.5522000000E-08;-5.9605100000E-11
1.06;0.2;'F150709B';2.77E-07;1.8131800000E-07;5.9605100000E-11;4.7013500000E-09;1.0162700000E-08
1.065;0.2;'F150709B';2.77E-07;1.7267600000E-07;-1.3113100000E-09;3.8164000000E-08;3.5278600000E-09
1.07;0.2;'F150709B';2.77E-07;2.0459400000E-07;-3.2782700000E-10;1.5909300000E-07;2.6956300000E-08
1.075;0.2;'F150709B';2.77E-07;2.2372700000E-07;7.7486400000E-10;2.4935800000E-07;2.2202800000E-08
1.08;0.2;'F150709B';2.77E-07;2.3573700000E-07;5.6624800000E-10;2.6485500000E-07;2.7120200000E-08
1.085;0.2;'F150709B';2.77E-07;1.9455000000E-07;7.2718000000E-09;6.9022600000E-08;-1.6629800000E-08
1.09;0.2;'F150709B';2.77E-07;3.6305400000E-07;1.1822600000E-07;5.3078200000E-08;2.7209600000E-08
1.095;0.2;'F150709B';2.77E-07;1.7380800000E-07;7.1031200000E-07;-1.4352900000E-06;-5.1069600000E-07
